Zeitstempel,Temperatur,Luftfeuchtigkeit
20.02.2025 11:00:00,"22,4","22,0"
20.02.2025 11:05:00,"22,0","22,0"
20.02.2025 11:10:00,"21,9","22,0"
20.02.2025 11:15:00,"21,8","23,0"
20.02.2025 11:20:00,"21,7","23,0"
20.02.2025 11:25:00,"21,7","23,0"
20.02.2025 11:30:00,"21,6","23,0"
20.02.2025 11:35:00,"21,6","23,0"
20.02.2025 11:40:00,"21,6","23,0"
20.02.2025 11:45:00,"21,6","23,0"
20.02.2025 11:50:00,"21,6","23,0"
20.02.2025 11:55:00,"21,6","23,0"
20.02.2025 12:00:00,"21,6","23,0"
20.02.2025 12:05:00,"21,6","23,0"
20.02.2025 12:10:00,"21,6","23,0"
20.02.2025 12:15:00,"21,6","24,0"
20.02.2025 12:20:00,"21,6","24,0"
20.02.2025 12:25:00,"21,6","24,0"
20.02.2025 12:30:00,"21,7","24,0"
20.02.2025 12:35:00,"21,7","24,0"
20.02.2025 12:40:00,"21,7","24,0"
20.02.2025 12:45:00,"21,7","24,0"
20.02.2025 12:50:00,"21,7","24,0"
20.02.2025 12:55:00,"21,7","24,0"
20.02.2025 13:00:00,"21,7","24,0"
20.02.2025 13:05:00,"21,8","24,0"
20.02.2025 13:10:00,"21,8","24,0"
20.02.2025 13:15:00,"21,8","24,0"
20.02.2025 13:20:00,"21,8","24,0"
20.02.2025 13:25:00,"21,8","24,0"
20.02.2025 13:30:00,"21,8","24,0"
20.02.2025 13:35:00,"21,8","24,0"
20.02.2025 13:40:00,"21,8","24,0"
20.02.2025 13:45:00,"21,8","24,0"
20.02.2025 13:50:00,"21,9","24,0"
20.02.2025 13:55:00,"21,9","24,0"
20.02.2025 14:00:00,"21,9","24,0"
20.02.2025 14:05:00,"21,9","24,0"
20.02.2025 14:10:00,"22,0","24,0"
20.02.2025 14:15:00,"22,0","24,0"
20.02.2025 14:20:00,"22,0","24,0"
20.02.2025 14:25:00,"22,0","24,0"
20.02.2025 14:30:00,"22,0","24,0"
20.02.2025 14:35:00,"22,1","24,0"
20.02.2025 14:40:00,"22,1","24,0"
20.02.2025 14:45:00,"22,2","24,0"
20.02.2025 14:50:00,"22,2","24,0"
20.02.2025 14:55:00,"22,2","24,0"
20.02.2025 15:00:00,"22,2","24,0"
20.02.2025 15:05:00,"22,2","24,0"
20.02.2025 15:10:00,"22,2","24,0"
20.02.2025 15:15:00,"22,2","24,0"
20.02.2025 15:20:00,"22,1","24,0"
20.02.2025 15:25:00,"22,1","24,0"
20.02.2025 15:30:00,"22,1","23,0"
20.02.2025 15:35:00,"22,1","23,0"
20.02.2025 15:40:00,"22,1","23,0"
20.02.2025 15:45:00,"22,0","23,0"
20.02.2025 15:50:00,"22,0","23,0"
20.02.2025 15:55:00,"22,0","23,0"
20.02.2025 16:00:00,"21,9","23,0"
20.02.2025 16:05:00,"21,9","23,0"
20.02.2025 16:10:00,"21,9","23,0"
20.02.2025 16:15:00,"21,9","23,0"
20.02.2025 16:20:00,"21,8","23,0"
20.02.2025 16:25:00,"21,8","23,0"
20.02.2025 16:30:00,"21,8","22,0"
20.02.2025 16:35:00,"21,7","22,0"
20.02.2025 16:40:00,"21,7","22,0"
20.02.2025 16:45:00,"21,7","23,0"
20.02.2025 16:50:00,"21,6","23,0"
20.02.2025 16:55:00,"21,6","22,0"
20.02.2025 17:00:00,"21,6","22,0"
20.02.2025 17:05:00,"21,6","22,0"
20.02.2025 17:10:00,"21,5","22,0"
20.02.2025 17:15:00,"21,5","22,0"
20.02.2025 17:20:00,"21,5","22,0"
20.02.2025 17:25:00,"21,5","22,0"
20.02.2025 17:30:00,"21,4","22,0"
20.02.2025 17:35:00,"21,4","22,0"
20.02.2025 17:40:00,"21,4","22,0"
20.02.2025 17:45:00,"21,3","22,0"
20.02.2025 17:50:00,"21,3","22,0"
20.02.2025 17:55:00,"21,3","22,0"
20.02.2025 18:00:00,"21,3","22,0"
20.02.2025 18:05:00,"21,2","22,0"
20.02.2025 18:10:00,"21,2","22,0"
20.02.2025 18:15:00,"21,2","22,0"
20.02.2025 18:20:00,"21,1","22,0"
20.02.2025 18:25:00,"21,1","22,0"
20.02.2025 18:30:00,"21,1","22,0"
20.02.2025 18:35:00,"21,1","22,0"
20.02.2025 18:40:00,"21,0","22,0"
20.02.2025 18:45:00,"21,0","22,0"
20.02.2025 18:50:00,"21,0","22,0"
20.02.2025 18:55:00,"21,0","22,0"
20.02.2025 19:00:00,"20,9","22,0"
20.02.2025 19:05:00,"20,9","22,0"
20.02.2025 19:10:00,"20,9","22,0"
20.02.2025 19:15:00,"20,9","22,0"
20.02.2025 19:20:00,"20,9","22,0"
20.02.2025 19:25:00,"20,8","22,0"
20.02.2025 19:30:00,"20,8","22,0"
20.02.2025 19:35:00,"20,8","22,0"
20.02.2025 19:40:00,"20,8","22,0"
20.02.2025 19:45:00,"20,8","22,0"
20.02.2025 19:50:00,"20,8","22,0"
20.02.2025 19:55:00,"20,7","22,0"
20.02.2025 20:00:00,"20,7","22,0"
20.02.2025 20:05:00,"20,7","22,0"
20.02.2025 20:10:00,"20,7","22,0"
20.02.2025 20:15:00,"20,7","22,0"
20.02.2025 20:20:00,"20,7","22,0"
20.02.2025 20:25:00,"20,7","22,0"
20.02.2025 20:30:00,"20,7","22,0"
20.02.2025 20:35:00,"20,7","22,0"
20.02.2025 20:40:00,"20,6","22,0"
20.02.2025 20:45:00,"20,6","22,0"
20.02.2025 20:50:00,"20,6","22,0"
20.02.2025 20:55:00,"20,6","22,0"
20.02.2025 21:00:00,"20,6","22,0"
20.02.2025 21:05:00,"20,6","22,0"
20.02.2025 21:10:00,"20,6","22,0"
20.02.2025 21:15:00,"20,6","22,0"
20.02.2025 21:20:00,"20,6","22,0"
20.02.2025 21:25:00,"20,5","22,0"
20.02.2025 21:30:00,"20,6","22,0"
20.02.2025 21:35:00,"20,5","22,0"
20.02.2025 21:40:00,"20,5","22,0"
20.02.2025 21:45:00,"20,5","22,0"
20.02.2025 21:50:00,"20,5","22,0"
20.02.2025 21:55:00,"20,5","22,0"
20.02.2025 22:00:00,"20,5","22,0"
20.02.2025 22:05:00,"20,5","22,0"
20.02.2025 22:10:00,"20,5","22,0"
20.02.2025 22:15:00,"20,4","22,0"
20.02.2025 22:20:00,"20,5","22,0"
20.02.2025 22:25:00,"20,4","22,0"
20.02.2025 22:30:00,"20,4","22,0"
20.02.2025 22:35:00,"20,4","22,0"
20.02.2025 22:40:00,"20,4","22,0"
20.02.2025 22:45:00,"20,4","22,0"
20.02.2025 22:50:00,"20,4","22,0"
20.02.2025 22:55:00,"20,4","22,0"
20.02.2025 23:00:00,"20,4","22,0"
20.02.2025 23:05:00,"20,4","22,0"
20.02.2025 23:10:00,"20,4","22,0"
20.02.2025 23:15:00,"20,4","22,0"
20.02.2025 23:20:00,"20,4","22,0"
20.02.2025 23:25:00,"20,4","22,0"
20.02.2025 23:30:00,"20,3","22,0"
20.02.2025 23:35:00,"20,3","22,0"
20.02.2025 23:40:00,"20,3","22,0"
20.02.2025 23:45:00,"20,3","22,0"
20.02.2025 23:50:00,"20,3","22,0"
20.02.2025 23:55:00,"20,3","22,0"
